venue_uri,venue_name
https://dblp.org/streams/conf/isit,ISIT
https://dblp.org/streams/conf/date,DATE
https://dblp.org/streams/conf/iwsib,IWSiB@ICSE
https://dblp.org/streams/conf/uai,UAI
https://dblp.org/streams/conf/fpga,FPGA
https://dblp.org/streams/conf/iui,IUI
https://dblp.org/streams/conf/lak,LAK
https://dblp.org/streams/conf/xpu,XP
https://dblp.org/streams/conf/acg,ACG
https://dblp.org/streams/conf/accv,ACCV (1)
https://dblp.org/streams/conf/sdmw,Secure Data Management
https://dblp.org/streams/conf/safecomp,SAFECOMP Workshops
https://dblp.org/streams/conf/lcn,LCN
https://dblp.org/streams/conf/snams,SNAMS
https://dblp.org/streams/conf/cnsm,CNSM
https://dblp.org/streams/conf/cbse,CBSE
https://dblp.org/streams/conf/spdp,SPDP
https://dblp.org/streams/conf/web,WEB
https://dblp.org/streams/conf/sle,SLE
https://dblp.org/streams/conf/soap-ws,SOAP@PLDI
https://dblp.org/streams/conf/plas-ws,PLAS
https://dblp.org/streams/conf/pldi,PLDI
https://dblp.org/streams/conf/qi,QI
https://dblp.org/streams/conf/kesw,KESW
https://dblp.org/streams/conf/tpnc,TPNC
https://dblp.org/streams/conf/smc,SMC
https://dblp.org/streams/conf/recsogood,RecSoGood@RecSys
https://dblp.org/streams/conf/euromicro,EUROMICRO-SEAA
https://dblp.org/streams/conf/xsw,XSW
https://dblp.org/streams/conf/ipta,IPTA
https://dblp.org/streams/conf/tat,Transputer-Anwender-Treffen
https://dblp.org/streams/conf/opodis,OPODIS
https://dblp.org/streams/conf/ofc,OFC
https://dblp.org/streams/conf/hcse,HCSE
https://dblp.org/streams/conf/ifaamas,ALA
https://dblp.org/streams/conf/vrst,VRST
https://dblp.org/streams/conf/heart,HEART
https://dblp.org/streams/conf/sbd,SBD@SIGMOD
https://dblp.org/streams/conf/kgswc,KGSWC
https://dblp.org/streams/conf/hci,HCI (3)
https://dblp.org/streams/conf/iwbf,IWBF
https://dblp.org/streams/conf/iwsm,IWSM/Mensura
https://dblp.org/streams/conf/group,GROUP
https://dblp.org/streams/conf/lanman,LANMAN
https://dblp.org/streams/conf/vtc,VTC Spring
https://dblp.org/streams/conf/raid,RAID
https://dblp.org/streams/conf/random,RANDOM-APPROX
https://dblp.org/streams/conf/sigdial,SIGDIAL
https://dblp.org/streams/conf/delta,DELTA
https://dblp.org/streams/conf/wims,WIMS
https://dblp.org/streams/conf/sat,SAT
https://dblp.org/streams/conf/seams,SEAMS@ICSE
https://dblp.org/streams/conf/his,HIS
https://dblp.org/streams/conf/iq,ICIQ
https://dblp.org/streams/conf/sigcse,SIGCSE (1)
https://dblp.org/streams/conf/rulemlrr,RuleML+RR
https://dblp.org/streams/conf/ldic,LDIC
https://dblp.org/streams/conf/ispe,CE
https://dblp.org/streams/conf/aspdac,ASP-DAC
https://dblp.org/streams/conf/codaspy,CODASPY
https://dblp.org/streams/conf/wollic,WoLLIC
https://dblp.org/streams/conf/wipsce,WiPSCE
https://dblp.org/streams/conf/jit,Java-Informations-Tage
https://dblp.org/streams/conf/mobihoc,MobiHoc
https://dblp.org/streams/conf/icas,ICAS
https://dblp.org/streams/conf/rv,RV
https://dblp.org/streams/conf/parelec,PARELEC
https://dblp.org/streams/conf/ami,AmI Workshops
https://dblp.org/streams/conf/dihu,DH
https://dblp.org/streams/conf/IEEEisic,ISIC
https://dblp.org/streams/conf/pacis,PACIS
https://dblp.org/streams/conf/pkdd,ECML/PKDD (4)
https://dblp.org/streams/conf/ecml,DC@PKDD/ECML
https://dblp.org/streams/conf/mlsa,MLSA@PKDD/ECML
https://dblp.org/streams/conf/im,IM
https://dblp.org/streams/conf/acsac,ACSAC
https://dblp.org/streams/conf/ahs,AHS
https://dblp.org/streams/conf/eatis,EATIS
https://dblp.org/streams/conf/aucc,AuCC
https://dblp.org/streams/conf/ht,HT
https://dblp.org/streams/conf/wsc,WSC
https://dblp.org/streams/conf/evoapps,EvoApplications
https://dblp.org/streams/conf/isgteurope,ISGT EUROPE
https://dblp.org/streams/conf/isw,ISC
https://dblp.org/streams/conf/tc11-5,IICIS
https://dblp.org/streams/conf/spawc,SPAWC
https://dblp.org/streams/conf/cad,CAD
https://dblp.org/streams/conf/ispa,ISPA
https://dblp.org/streams/conf/hicss,HICSS
https://dblp.org/streams/conf/ichc,ICHC
https://dblp.org/streams/conf/mis,Multimedia Information Systems
https://dblp.org/streams/conf/simvis,SimVis
https://dblp.org/streams/conf/i-semantics,SEMANTiCS (Posters & Demos)
https://dblp.org/streams/conf/cec,CEC
https://dblp.org/streams/conf/fmco,FMCO
https://dblp.org/streams/conf/icassp,ICASSP
https://dblp.org/streams/conf/wcce,WCCE
https://dblp.org/streams/conf/swat4ls,SWAT4LS
https://dblp.org/streams/conf/ifip5-7,APMS
https://dblp.org/streams/conf/ectel,EC-TEL
https://dblp.org/streams/conf/icpp,ICPP Workshops
https://dblp.org/streams/conf/mlearn,mLearn
https://dblp.org/streams/conf/ki,KI
https://dblp.org/streams/conf/fcr,FCR@KI
