author_uri,paper_uri
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/EckePT14
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/GilT19
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/BorgwardtMPT15
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/PenselT18
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/TurhanH00
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/TirtarasaT22
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/MailisTZ15
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/EckeT12
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/MendezET11
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/BrandtT03
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/BrandtKT02
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/TurhanM01
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/BaaderT01
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/BaaderST04
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/TurhanB07
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/PenalozaT24
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/HaarslevMT98
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/EckePT15
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/PenalozaTT14
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/HaarslevMTW99
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/TurhanK04
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/TurhanZ13
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/HaarslevMT98a
https://dblp.org/pid/177/9340,https://dblp.org/rec/conf/dlog/HaakKMT25
https://dblp.org/pid/150/4812-2,https://dblp.org/rec/conf/dlog/HaakKMT25
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/HaakKMT25
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/BaaderKT17
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/EckePT13
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/GilT20
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/BaaderKMTZ22
https://dblp.org/pid/h/FMaufderHeide,https://dblp.org/rec/conf/ppam/GehweilerKH11
https://dblp.org/pid/39/1215-1,https://dblp.org/rec/conf/ppam/ZhaoOMRK05
https://dblp.org/pid/43/917,https://dblp.org/rec/conf/ppam/ZhaoOMRK05
https://dblp.org/pid/r/FranzJosefRammig,https://dblp.org/rec/conf/ppam/ZhaoOMRK05
https://dblp.org/pid/h/FMaufderHeide,https://dblp.org/rec/conf/ppam/BonordenGH05
https://dblp.org/pid/h/FMaufderHeide,https://dblp.org/rec/conf/ppam/BonordenGH05a
https://dblp.org/pid/25/7857,https://dblp.org/rec/conf/itst/WuthishuwongT13
https://dblp.org/pid/128/3400,https://dblp.org/rec/conf/cdc/GoldRVG21
https://dblp.org/pid/81/3518,https://dblp.org/rec/conf/cdc/FlasskampOSB13
https://dblp.org/pid/81/3518,https://dblp.org/rec/conf/cdc/FlasskampMO12
https://dblp.org/pid/55/3839,https://dblp.org/rec/conf/cdc/LeongWN16
https://dblp.org/pid/81/3518,https://dblp.org/rec/conf/cdc/JungeMO06
https://dblp.org/pid/81/3518,https://dblp.org/rec/conf/cdc/StellatoOG16
https://dblp.org/pid/81/3518,https://dblp.org/rec/conf/cdc/Ober-BlobaumRF12
https://dblp.org/pid/81/3518,https://dblp.org/rec/conf/cdc/JungeO05
https://dblp.org/pid/55/3839,https://dblp.org/rec/conf/cdc/LeongQD17
https://dblp.org/pid/55/3839,https://dblp.org/rec/conf/cdc/LeongD12
https://dblp.org/pid/81/3518,https://dblp.org/rec/conf/cdc/RidderbuschOOG21
https://dblp.org/pid/55/3839,https://dblp.org/rec/conf/cdc/LeongDN13
https://dblp.org/pid/25/7857,https://dblp.org/rec/conf/ias/ShareefJTT14
https://dblp.org/pid/65/4336,https://dblp.org/rec/conf/mtsr/MarxHSNLA16
https://dblp.org/pid/k/ReinhardKeilSlawik,https://dblp.org/rec/conf/mc/HampelKS04
https://dblp.org/pid/53/3909,https://dblp.org/rec/conf/mc/HampelKS04
https://dblp.org/pid/95/4985-1,https://dblp.org/rec/conf/mc/ReinhardtAKKPSSSUVV12
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/HulsmannS12
https://dblp.org/pid/138/4856,https://dblp.org/rec/conf/mc/Yigitbas016
https://dblp.org/pid/07/2093-1,https://dblp.org/rec/conf/mc/Yigitbas016
https://dblp.org/pid/138/4856,https://dblp.org/rec/conf/mc/YigitbasHE19
https://dblp.org/pid/e/GregorEngels,https://dblp.org/rec/conf/mc/YigitbasHE19
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/BomsdorfS04
https://dblp.org/pid/138/4856,https://dblp.org/rec/conf/mc/YigitbasS14
https://dblp.org/pid/07/2093-1,https://dblp.org/rec/conf/mc/YigitbasS14
https://dblp.org/pid/138/4856,https://dblp.org/rec/conf/mc/SchmidtY23
https://dblp.org/pid/138/4856,https://dblp.org/rec/conf/mc/NeumayrYAH23
https://dblp.org/pid/138/4856,https://dblp.org/rec/conf/mc/NeumayrYAHSS24
https://dblp.org/pid/k/ReinhardKeilSlawik,https://dblp.org/rec/conf/mc/KeilS14
https://dblp.org/pid/k/ReinhardKeilSlawik,https://dblp.org/rec/conf/mc/WinkelnkemperK14
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/BomsdorfSZ05
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/SzwillusE08
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/SzwillusHMW15
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/EggersHS13
https://dblp.org/pid/138/4856,https://dblp.org/rec/conf/mc/MazurY24
https://dblp.org/pid/138/4856,https://dblp.org/rec/conf/mc/AugsteinBHLY020
https://dblp.org/pid/138/4856,https://dblp.org/rec/conf/mc/BuschekHHLRY22
https://dblp.org/pid/92/6400,https://dblp.org/rec/conf/mc/PottebaumEG24
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/HasibuanS01
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/SzwillusDHS08
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/BrumbergS14
https://dblp.org/pid/48/4209,https://dblp.org/rec/conf/mc/SchwidrowskiMSS08
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/Szwillus06
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/MistrzykS08
https://dblp.org/pid/92/6400,https://dblp.org/rec/conf/mc/GrasslerPRMGHC21
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/DabbertS09
https://dblp.org/pid/k/ReinhardKeilSlawik,https://dblp.org/rec/conf/mc/KeilS13
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/BiedebachBS02
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/BomsdorfS03
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/mc/BomsdorfS01a
https://dblp.org/pid/53/3909,https://dblp.org/rec/conf/mc/Selke06
https://dblp.org/pid/138/4856,https://dblp.org/rec/conf/mc/YigitbasTE20
https://dblp.org/pid/e/GregorEngels,https://dblp.org/rec/conf/mc/YigitbasTE20
https://dblp.org/pid/94/5811-1,https://dblp.org/rec/conf/taros/BabuJFM23
https://dblp.org/pid/b/StBottcher,https://dblp.org/rec/conf/tamoco/BottcherOTW08
https://dblp.org/pid/15/5253,https://dblp.org/rec/conf/or/FahleV14
https://dblp.org/pid/38/2606-2,https://dblp.org/rec/conf/or/0002KH10
https://dblp.org/pid/138/8052,https://dblp.org/rec/conf/or/Markarian17
https://dblp.org/pid/15/5253,https://dblp.org/rec/conf/or/Fahle11
https://dblp.org/pid/117/6974-1,https://dblp.org/rec/conf/or/WeberMD15
https://dblp.org/pid/70/4639,https://dblp.org/rec/conf/or/WeberMD15
https://dblp.org/pid/m/BurkhardMonien,https://dblp.org/rec/conf/ics/SpeckenmeyerMV87
https://dblp.org/pid/62/6023-2,https://dblp.org/rec/conf/latw/GaillardonGM13
https://dblp.org/pid/88/6542,https://dblp.org/rec/conf/slsp/HeitkaemperFFH19
https://dblp.org/pid/150/0050,https://dblp.org/rec/conf/esorics/ArnaboldiAKR23
https://dblp.org/pid/d/GittaDomik,https://dblp.org/rec/conf/vrml/GoetzBD04
https://dblp.org/pid/90/4912,https://dblp.org/rec/conf/vrml/GausemeierKMEG00
https://dblp.org/pid/77/949,https://dblp.org/rec/conf/icuwb/KrishneGowdaMWK15
https://dblp.org/pid/31/5809,https://dblp.org/rec/conf/ewspt/GodartBCENJLSS99
https://dblp.org/pid/31/5809,https://dblp.org/rec/conf/ewspt/Schafer96
https://dblp.org/pid/f/AlexanderFoerster,https://dblp.org/rec/conf/ewspt/ForsterE03
https://dblp.org/pid/e/GregorEngels,https://dblp.org/rec/conf/ewspt/ForsterE03
https://dblp.org/pid/e/GregorEngels,https://dblp.org/rec/conf/ewspt/EngelsG92
https://dblp.org/pid/31/5809,https://dblp.org/rec/conf/ewspt/JunkermannS94
https://dblp.org/pid/31/5809,https://dblp.org/rec/conf/ewspt/Schafer92
https://dblp.org/pid/75/4066-2,https://dblp.org/rec/conf/ewspt/NeumannSS96
https://dblp.org/pid/31/5809,https://dblp.org/rec/conf/ewspt/NeumannSS96
https://dblp.org/pid/31/5809,https://dblp.org/rec/conf/ewspt/SchaferFGJ99
https://dblp.org/pid/e/GregorEngels,https://dblp.org/rec/conf/ewspt/EngelsGD98
https://dblp.org/pid/31/5809,https://dblp.org/rec/conf/ewspt/EmmerichSW92
https://dblp.org/pid/e/GregorEngels,https://dblp.org/rec/conf/ewspt/Engels95
https://dblp.org/pid/e/GregorEngels,https://dblp.org/rec/conf/ewspt/EngelsG94
https://dblp.org/pid/e/GregorEngels,https://dblp.org/rec/conf/ewspt/GroenewegenE95
https://dblp.org/pid/e/GregorEngels,https://dblp.org/rec/conf/ewspt/BunjeEGHM96
https://dblp.org/pid/70/4639,https://dblp.org/rec/conf/cisched/AufenangerLKD09
https://dblp.org/pid/138/8052,https://dblp.org/rec/conf/paams/KhalufMSR17
https://dblp.org/pid/m/BurkhardMonien,https://dblp.org/rec/conf/paa/MonienV87
https://dblp.org/pid/00/2717,https://dblp.org/rec/conf/icac/JungmannLWKK11
https://dblp.org/pid/17/5476,https://dblp.org/rec/conf/icac/JungmannLWKK11
https://dblp.org/pid/r/FranzJosefRammig,https://dblp.org/rec/conf/icac/LoeserDAR04
https://dblp.org/pid/50/6546,https://dblp.org/rec/conf/icac/LuckeyGSE11
https://dblp.org/pid/e/GregorEngels,https://dblp.org/rec/conf/icac/LuckeyGSE11
https://dblp.org/pid/f/AlexanderFoerster,https://dblp.org/rec/conf/icinco/FrankLSHFS12
https://dblp.org/pid/25/7857,https://dblp.org/rec/conf/icinco/WuthishuwongT14
https://dblp.org/pid/f/AlexanderFoerster,https://dblp.org/rec/conf/icinco/LeitnerFFS14
https://dblp.org/pid/138/8052,https://dblp.org/rec/conf/icinco/MarkarianK21
https://dblp.org/pid/76/5938,https://dblp.org/rec/conf/supercomputer/AltKFFOPAHK23
https://dblp.org/pid/b/StBottcher,https://dblp.org/rec/conf/webist/BottcherHH08
https://dblp.org/pid/48/5080,https://dblp.org/rec/conf/webist/BottcherHH08
https://dblp.org/pid/b/StBottcher,https://dblp.org/rec/conf/webist/BottcherBH13
https://dblp.org/pid/48/5080,https://dblp.org/rec/conf/webist/BottcherBH13
https://dblp.org/pid/b/StBottcher,https://dblp.org/rec/conf/webist/BottcherFH11a
https://dblp.org/pid/48/5080,https://dblp.org/rec/conf/webist/BottcherFH11a
https://dblp.org/pid/b/StBottcher,https://dblp.org/rec/conf/webist/BottcherFH11
https://dblp.org/pid/48/5080,https://dblp.org/rec/conf/webist/BottcherFH11
https://dblp.org/pid/b/StBottcher,https://dblp.org/rec/conf/webist/BottcherFH13
https://dblp.org/pid/48/5080,https://dblp.org/rec/conf/webist/BottcherFH13
https://dblp.org/pid/b/StBottcher,https://dblp.org/rec/conf/webist/BottcherHH08a
https://dblp.org/pid/48/5080,https://dblp.org/rec/conf/webist/BottcherHH08a
https://dblp.org/pid/164/2698,https://dblp.org/rec/conf/ecsqaru/MadrigalGND25
https://dblp.org/pid/164/2698,https://dblp.org/rec/conf/ecsqaru/ZhuNMD25
https://dblp.org/pid/164/2698,https://dblp.org/rec/conf/ecsqaru/NguyenZD23
https://dblp.org/pid/17/6729-15,https://dblp.org/rec/conf/mobisys/GedeonKMSWM18
https://dblp.org/pid/17/6729-15,https://dblp.org/rec/conf/icccn/JoWKM18
https://dblp.org/pid/17/6729-15,https://dblp.org/rec/conf/icccn/Shi0ZZ020
https://dblp.org/pid/17/6729-15,https://dblp.org/rec/conf/icccn/WangZL13
https://dblp.org/pid/17/6729-15,https://dblp.org/rec/conf/icccn/GedeonSWM18
https://dblp.org/pid/26/4979,https://dblp.org/rec/conf/nixdorf/KundischHM10
https://dblp.org/pid/70/4639,https://dblp.org/rec/conf/nixdorf/Dangelmaier10
https://dblp.org/pid/m/BurkhardMonien,https://dblp.org/rec/conf/nixdorf/MonienLL92
https://dblp.org/pid/h/FMaufderHeide,https://dblp.org/rec/conf/nixdorf/Heide92
https://dblp.org/pid/d/GittaDomik,https://dblp.org/rec/conf/eurographics/GoetzJD05
https://dblp.org/pid/d/GittaDomik,https://dblp.org/rec/conf/eurographics/GoetzD03
https://dblp.org/pid/06/456,https://dblp.org/rec/conf/eurographics/Szwillus89
https://dblp.org/pid/d/GittaDomik,https://dblp.org/rec/conf/eurographics/VolbrachtD98
https://dblp.org/pid/d/GittaDomik,https://dblp.org/rec/conf/eurographics/DomikCFR08
https://dblp.org/pid/d/GittaDomik,https://dblp.org/rec/conf/eurographics/DomikEKRSW12
https://dblp.org/pid/18/2890,https://dblp.org/rec/conf/eurographics/CampenAK12
