author_uri,author_name,primary_affiliations,all_affiliations,matched_paderborn_affiliations
https://dblp.org/pid/64/226-1,Bj\u00F6rn Metzler,"University of Paderborn, Department of Computer Science","University of Paderborn, Department of Computer Science","University of Paderborn, Department of Computer Science | University of Paderborn, Department of Computer Science"
https://dblp.org/pid/15/5253,Torsten Fahle,University of Paderborn,University of Paderborn,University of Paderborn | University of Paderborn
https://dblp.org/pid/203/2506,Philipp Terh\u00F6rst,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/91/4804-2,Carsten Schmidt,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/222/1046-1,Felix Lange,"Paderborn University, System Security Group, Paderborn, Germany","Paderborn University, System Security Group, Paderborn, Germany","Paderborn University, System Security Group, Paderborn, Germany | Paderborn University, System Security Group, Paderborn, Germany"
https://dblp.org/pid/77/4790,Florian Stallmann,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/77/949,Christoph Scheytt,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/65/4336,Axel-Cyrille Ngonga Ngomo,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/21/7559-2,Sebastian Thiele,"University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany | University of Paderborn, Heinz Nixdorf Institute, Germany"
https://dblp.org/pid/21/3707-3,Martin Hahn,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/16/8643-2,Steffen Schneider,"University of Paderborn, C.I.K., Germany","University of Paderborn, C.I.K., Germany","University of Paderborn, C.I.K., Germany | University of Paderborn, C.I.K., Germany"
https://dblp.org/pid/43/6309-1,Oliver M\u00FCller,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/43/917,Simon Oberth\u00FCr,"University of Paderborn, SICP, Germany","University of Paderborn, SICP, Germany","University of Paderborn, SICP, Germany | University of Paderborn, SICP, Germany"
https://dblp.org/pid/p/PPfahler,Peter Pfahler,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/372/9679,Markus Schmidt,"Paderborn University, Heinz Nixdorf Institute, Germany","Paderborn University, Heinz Nixdorf Institute, Germany","Paderborn University, Heinz Nixdorf Institute, Germany | Paderborn University, Heinz Nixdorf Institute, Germany"
https://dblp.org/pid/94/5744,Eric Bodden,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/94/5811-1,Dirk Fischer,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/79/6049,Katharina J. Rohlfing,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
